Device,Application,Schedule_UID,Task_ID,Total_Duration_ms
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,94,16.6683349609375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,95,16.337443033854164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,96,16.644694010416664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,97,16.4903564453125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,98,16.875773111979164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,99,16.475911458333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,0,46.062784830729164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,1,31.489461263020832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,2,19.144775390625
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,3,22.172607421875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,4,15.547648111979166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,5,14.2069091796875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,6,16.078694661458332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,7,14.121826171875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,8,14.4879150390625
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,9,13.489949544270832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,10,13.3021240234375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,11,12.871012369791666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,12,12.946451822916666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,13,13.208780924479164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,14,13.068929036458332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,15,13.254231770833332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,16,12.822794596354166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,17,13.060180664062498
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,18,13.080810546874998
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,19,13.30810546875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,20,13.220703124999998
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,21,13.153971354166666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,22,13.1746826171875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,23,13.055135091145832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,24,13.070515950520832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,25,13.228393554687498
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,26,13.247762044270832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,27,13.327311197916666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,28,13.286376953125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,29,13.4525146484375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,30,13.431559244791666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,31,13.560302734375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,32,13.7659912109375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,33,13.646687825520832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,34,13.554972330729164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,35,13.550618489583332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,36,13.305989583333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,37,13.482828776041666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,38,13.442830403645832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,39,13.235677083333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,40,13.133748372395832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,41,13.268229166666666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,42,13.071329752604166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,43,13.114583333333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,44,13.2305908203125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,45,13.274373372395832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,46,13.6522216796875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,47,13.465372721354166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,48,13.387044270833332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,49,13.322509765625
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,50,13.707560221354166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,51,13.38330078125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,52,13.485066731770832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,53,13.639119466145832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,54,13.393025716145832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,55,13.243408203125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,56,13.237874348958332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,57,13.286946614583332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,58,13.259887695312498
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,59,13.198852539062498
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,60,13.317301432291666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,61,13.3148193359375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,62,13.4739990234375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,63,13.656209309895832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,64,13.6971435546875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,65,13.518391927083332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,66,13.493408203125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,67,13.796142578124998
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,68,13.482706705729166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,69,13.4002685546875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,70,13.663411458333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,71,13.486083984375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,72,13.2921142578125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,73,13.557169596354164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,74,13.470255533854164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,75,13.42138671875
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,76,13.671305338541666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,77,13.315388997395832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,78,13.4046630859375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,79,13.459106445312498
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,80,13.435587565104166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,81,13.411824544270832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,82,13.500284830729164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,83,13.407918294270832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,84,13.513590494791664
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,85,13.609456380208332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,86,13.472574869791666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,87,13.447021484375
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,88,13.335286458333332
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,89,13.641398111979164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,90,13.710734049479166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,91,13.671346028645832
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,92,13.707560221354166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,93,13.644083658854166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,94,13.4267578125
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,95,13.664835611979164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,96,13.602823893229164
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,97,13.470499674479166
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,98,13.323160807291666
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,99,13.544352213541666
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,0,24.053873697916664
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,1,14.669759114583332
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,2,14.348103841145832
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,3,18.347330729166664
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,4,12.438924153645832
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,5,10.650431315104166
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,6,10.666829427083332
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,7,10.71337890625
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,8,9.513712565104166
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,9,9.525675455729166
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,10,9.463623046875
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,11,9.438028971354166
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,12,9.5352783203125
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,13,9.489705403645832
